,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
23911,04 - Butte,8/25/17,In Construction,3269453,10,NA
23912,04 - Butte,8/25/17,In Closure,12138,3,NA
23913,05 - Calaveras,8/25/17,In Review,0,0,NA
23914,05 - Calaveras,8/25/17,Pending Construction,150000,1,NA
23915,05 - Calaveras,8/25/17,In Construction,141564,2,NA
23916,05 - Calaveras,8/25/17,In Closure,0,0,NA
23917,06 - Colusa,8/25/17,In Review,0,0,NA
23918,06 - Colusa,8/25/17,Pending Construction,0,0,NA
23919,06 - Colusa,8/25/17,In Construction,0,0,NA
23920,06 - Colusa,8/25/17,In Closure,0,0,NA
23921,07 - Contra Costa,8/25/17,In Review,25245412,28,Bay Area Counties
23922,07 - Contra Costa,8/25/17,Pending Construction,3801801,26,Bay Area Counties
23923,07 - Contra Costa,8/25/17,In Construction,43999292,57,Bay Area Counties
23924,07 - Contra Costa,8/25/17,In Closure,4444145,15,Bay Area Counties
23925,08 - Del Norte,8/25/17,In Review,90000,1,NA
23926,08 - Del Norte,8/25/17,Pending Construction,52300,4,NA
23927,08 - Del Norte,8/25/17,In Construction,2891300,7,NA
23928,08 - Del Norte,8/25/17,In Closure,149500,1,NA
23929,09 - El Dorado,8/25/17,In Review,3396079,8,Greater Sacramento Counties
23930,09 - El Dorado,8/25/17,Pending Construction,1982373,3,Greater Sacramento Counties
23931,09 - El Dorado,8/25/17,In Construction,16329606,18,Greater Sacramento Counties
23932,09 - El Dorado,8/25/17,In Closure,27932,1,Greater Sacramento Counties
23933,10 - Fresno,8/25/17,In Review,107280837,17,NA
23934,10 - Fresno,8/25/17,Pending Construction,26263600,26,NA
23935,10 - Fresno,8/25/17,In Construction,54534583,75,NA
23936,10 - Fresno,8/25/17,In Closure,3454994,9,NA
23937,11 - Glenn,8/25/17,In Review,0,0,NA
23938,11 - Glenn,8/25/17,Pending Construction,12962075,2,NA
23939,11 - Glenn,8/25/17,In Construction,0,0,NA
23940,11 - Glenn,8/25/17,In Closure,0,0,NA
23941,12 - Humboldt,8/25/17,In Review,923000,2,NA
23942,12 - Humboldt,8/25/17,Pending Construction,9540600,6,NA
23943,12 - Humboldt,8/25/17,In Construction,88361565,7,NA
23944,12 - Humboldt,8/25/17,In Closure,915236,4,NA
23945,13 - Imperial,8/25/17,In Review,13950000,4,NA
23946,13 - Imperial,8/25/17,Pending Construction,47005000,7,NA
23947,13 - Imperial,8/25/17,In Construction,22835571,8,NA
23948,13 - Imperial,8/25/17,In Closure,61735,2,NA
23949,14 - Inyo,8/25/17,In Review,5000,1,NA
23950,14 - Inyo,8/25/17,Pending Construction,30000,1,NA
23951,14 - Inyo,8/25/17,In Construction,0,0,NA
23952,14 - Inyo,8/25/17,In Closure,45000,1,NA
23953,15 - Kern,8/25/17,In Review,51214790,28,NA
23954,15 - Kern,8/25/17,Pending Construction,5669343,19,NA
23955,15 - Kern,8/25/17,In Construction,57818307,49,NA
23956,15 - Kern,8/25/17,In Closure,811122,5,NA
23957,16 - Kings,8/25/17,In Review,130000,1,NA
23958,16 - Kings,8/25/17,Pending Construction,111500,1,NA
23959,16 - Kings,8/25/17,In Construction,861882,10,NA
23960,16 - Kings,8/25/17,In Closure,0,0,NA
23961,17 - Lake,8/25/17,In Review,590000,4,NA
23962,17 - Lake,8/25/17,Pending Construction,11000,1,NA
23963,17 - Lake,8/25/17,In Construction,1442472,16,NA
23964,17 - Lake,8/25/17,In Closure,934494,2,NA
23965,18 - Lassen,8/25/17,In Review,50000,1,NA
23966,18 - Lassen,8/25/17,Pending Construction,74620,2,NA
23967,18 - Lassen,8/25/17,In Construction,1389235,6,NA
23968,18 - Lassen,8/25/17,In Closure,540000,2,NA
23969,19 - Los Angeles,8/25/17,In Review,877136393,383,Greater Los Angeles Counties
23970,19 - Los Angeles,8/25/17,Pending Construction,235218000,452,Greater Los Angeles Counties
23971,19 - Los Angeles,8/25/17,In Construction,588281972,874,Greater Los Angeles Counties
23972,19 - Los Angeles,8/25/17,In Closure,184714141,228,Greater Los Angeles Counties
23973,20 - Madera,8/25/17,In Review,7614469,8,NA
23974,20 - Madera,8/25/17,Pending Construction,2098922,4,NA
23975,20 - Madera,8/25/17,In Construction,15793120,26,NA
23976,20 - Madera,8/25/17,In Closure,1216613,3,NA
23977,21 - Marin,8/25/17,In Review,3530458,11,Bay Area Counties
23978,21 - Marin,8/25/17,Pending Construction,6208511,17,Bay Area Counties
23979,21 - Marin,8/25/17,In Construction,36709251,45,Bay Area Counties
23980,21 - Marin,8/25/17,In Closure,1051570,5,Bay Area Counties
23981,22 - Mariposa,8/25/17,In Review,0,0,NA
23982,22 - Mariposa,8/25/17,Pending Construction,25000,1,NA
23983,22 - Mariposa,8/25/17,In Construction,0,0,NA
23984,22 - Mariposa,8/25/17,In Closure,0,0,NA
23985,23 - Mendocino,8/25/17,In Review,581293,6,NA
23986,23 - Mendocino,8/25/17,Pending Construction,909700,8,NA
23987,23 - Mendocino,8/25/17,In Construction,21822566,18,NA
23988,23 - Mendocino,8/25/17,In Closure,167040,1,NA
23989,24 - Merced,8/25/17,In Review,1166096,3,NA
23990,24 - Merced,8/25/17,Pending Construction,98785,3,NA
23991,24 - Merced,8/25/17,In Construction,1440442,14,NA
23992,24 - Merced,8/25/17,In Closure,46134,1,NA
23993,25 - Modoc,8/25/17,In Review,0,0,NA
23994,25 - Modoc,8/25/17,Pending Construction,0,0,NA
23995,25 - Modoc,8/25/17,In Construction,45000,1,NA
23996,25 - Modoc,8/25/17,In Closure,0,0,NA
23997,26 - Mono,8/25/17,In Review,60000,1,NA
23998,26 - Mono,8/25/17,Pending Construction,0,0,NA
23999,26 - Mono,8/25/17,In Construction,21000,1,NA
24000,26 - Mono,8/25/17,In Closure,0,0,NA
24001,27 - Monterey,8/25/17,In Review,1409452,15,NA
24002,27 - Monterey,8/25/17,Pending Construction,12916109,13,NA
24003,27 - Monterey,8/25/17,In Construction,43803042,30,NA
24004,27 - Monterey,8/25/17,In Closure,1374255,4,NA
24005,28 - Napa,8/25/17,In Review,11605565,10,Bay Area Counties
24006,28 - Napa,8/25/17,Pending Construction,1586405,7,Bay Area Counties
24007,28 - Napa,8/25/17,In Construction,7401854,28,Bay Area Counties
24008,28 - Napa,8/25/17,In Closure,14095,2,Bay Area Counties
24009,29 - Nevada,8/25/17,In Review,2243957,8,NA
24010,29 - Nevada,8/25/17,Pending Construction,3213850,7,NA
24011,29 - Nevada,8/25/17,In Construction,27912701,18,NA
24012,29 - Nevada,8/25/17,In Closure,9778746,6,NA
24013,30 - Orange,8/25/17,In Review,167122606,85,Greater Los Angeles Counties
24014,30 - Orange,8/25/17,Pending Construction,30656102,69,Greater Los Angeles Counties
24015,30 - Orange,8/25/17,In Construction,125933593,148,Greater Los Angeles Counties
24016,30 - Orange,8/25/17,In Closure,31174358,75,Greater Los Angeles Counties
24017,31 - Placer,8/25/17,In Review,13222670,11,Greater Sacramento Counties
24018,31 - Placer,8/25/17,Pending Construction,867500,5,Greater Sacramento Counties
24019,31 - Placer,8/25/17,In Construction,29458336,30,Greater Sacramento Counties
24020,31 - Placer,8/25/17,In Closure,1046883,6,Greater Sacramento Counties
24021,32 - Plumas,8/25/17,In Review,80000,1,NA
24022,32 - Plumas,8/25/17,Pending Construction,80000,4,NA
24023,32 - Plumas,8/25/17,In Construction,18859,3,NA
24024,32 - Plumas,8/25/17,In Closure,0,0,NA
24025,33 - Riverside,8/25/17,In Review,165122241,40,NA
24026,33 - Riverside,8/25/17,Pending Construction,39654510,62,NA
24027,33 - Riverside,8/25/17,In Construction,432489083,111,NA
24028,33 - Riverside,8/25/17,In Closure,53703742,32,NA
24029,34 - Sacramento,8/25/17,In Review,62977167,32,Greater Sacramento Counties
24030,34 - Sacramento,8/25/17,Pending Construction,46234164,57,Greater Sacramento Counties
24031,34 - Sacramento,8/25/17,In Construction,282596250,150,Greater Sacramento Counties
24032,34 - Sacramento,8/25/17,In Closure,162389374,25,Greater Sacramento Counties
24033,35 - San Benito,8/25/17,In Review,99000,2,NA
24034,35 - San Benito,8/25/17,Pending Construction,0,0,NA
24035,35 - San Benito,8/25/17,In Construction,103388,1,NA
24036,35 - San Benito,8/25/17,In Closure,0,0,NA
24037,36 - San Bernardino,8/25/17,In Review,369374783,49,NA
24038,36 - San Bernardino,8/25/17,Pending Construction,112908180,63,NA
24039,36 - San Bernardino,8/25/17,In Construction,444292055,147,NA
24040,36 - San Bernardino,8/25/17,In Closure,10043902,30,NA
24041,37 - San Diego,8/25/17,In Review,173158157,80,NA
24042,37 - San Diego,8/25/17,Pending Construction,53675478,116,NA
24043,37 - San Diego,8/25/17,In Construction,345662814,216,NA
24044,37 - San Diego,8/25/17,In Closure,63755929,72,NA
24045,38 - San Francisco,8/25/17,In Review,117086797,60,Bay Area Counties
24046,38 - San Francisco,8/25/17,Pending Construction,24138511,36,Bay Area Counties
24047,38 - San Francisco,8/25/17,In Construction,1375693723,116,Bay Area Counties
24048,38 - San Francisco,8/25/17,In Closure,10259883,29,Bay Area Counties
24049,39 - San Joaquin,8/25/17,In Review,27264619,16,NA
24050,39 - San Joaquin,8/25/17,Pending Construction,4635990,14,NA
24051,39 - San Joaquin,8/25/17,In Construction,40746902,27,NA
24052,39 - San Joaquin,8/25/17,In Closure,4883628,9,NA
24053,40 - San Luis Obispo,8/25/17,In Review,19021715,16,NA
24054,40 - San Luis Obispo,8/25/17,Pending Construction,318700,5,NA
24055,40 - San Luis Obispo,8/25/17,In Construction,5876731,16,NA
24056,40 - San Luis Obispo,8/25/17,In Closure,1291000,2,NA
24057,41 - San Mateo,8/25/17,In Review,40774766,32,Bay Area Counties
24058,41 - San Mateo,8/25/17,Pending Construction,11592288,24,Bay Area Counties
24059,41 - San Mateo,8/25/17,In Construction,33523526,54,Bay Area Counties
24060,41 - San Mateo,8/25/17,In Closure,6788570,8,Bay Area Counties
24061,42 - Santa Barbara,8/25/17,In Review,29061650,8,NA
24062,42 - Santa Barbara,8/25/17,Pending Construction,1858400,14,NA
24063,42 - Santa Barbara,8/25/17,In Construction,143763853,33,NA
24064,42 - Santa Barbara,8/25/17,In Closure,79126010,10,NA
24065,43 - Santa Clara,8/25/17,In Review,349166943,68,Bay Area Counties
24066,43 - Santa Clara,8/25/17,Pending Construction,15076782,37,Bay Area Counties
24067,43 - Santa Clara,8/25/17,In Construction,2043944497,144,Bay Area Counties
24068,43 - Santa Clara,8/25/17,In Closure,31972048,13,Bay Area Counties
24069,44 - Santa Cruz,8/25/17,In Review,5051761,8,NA
24070,44 - Santa Cruz,8/25/17,Pending Construction,5310377,3,NA
24071,44 - Santa Cruz,8/25/17,In Construction,9123430,16,NA
24072,44 - Santa Cruz,8/25/17,In Closure,1127471,2,NA
24073,45 - Shasta,8/25/17,In Review,13009196,7,NA
24074,45 - Shasta,8/25/17,Pending Construction,1207500,10,NA
24075,45 - Shasta,8/25/17,In Construction,7845522,17,NA
24076,45 - Shasta,8/25/17,In Closure,1680541,9,NA
24077,46 - Sierra,8/25/17,In Review,0,0,NA
24078,46 - Sierra,8/25/17,Pending Construction,172200,2,NA
24079,46 - Sierra,8/25/17,In Construction,0,0,NA
24080,46 - Sierra,8/25/17,In Closure,0,0,NA
24081,47 - Siskiyou,8/25/17,In Review,4000500,2,NA
24082,47 - Siskiyou,8/25/17,Pending Construction,1856538,9,NA
24083,47 - Siskiyou,8/25/17,In Construction,139950,3,NA
24084,47 - Siskiyou,8/25/17,In Closure,0,0,NA
24085,48 - Solano,8/25/17,In Review,6976657,17,Bay Area Counties
24086,48 - Solano,8/25/17,Pending Construction,1983019,11,Bay Area Counties
24087,48 - Solano,8/25/17,In Construction,78248944,15,Bay Area Counties
24088,48 - Solano,8/25/17,In Closure,2876013,12,Bay Area Counties
24089,49 - Sonoma,8/25/17,In Review,35476851,16,Bay Area Counties
24090,49 - Sonoma,8/25/17,Pending Construction,1073221,16,Bay Area Counties
24091,49 - Sonoma,8/25/17,In Construction,25167562,62,Bay Area Counties
24092,49 - Sonoma,8/25/17,In Closure,226459,4,Bay Area Counties
24093,50 - Stanislaus,8/25/17,In Review,12705800,7,NA
24094,50 - Stanislaus,8/25/17,Pending Construction,4190298,21,NA
24095,50 - Stanislaus,8/25/17,In Construction,24190201,38,NA
24096,50 - Stanislaus,8/25/17,In Closure,1074743,1,NA
24097,51 - Sutter,8/25/17,In Review,29500,2,NA
24098,51 - Sutter,8/25/17,Pending Construction,5500,1,NA
24099,51 - Sutter,8/25/17,In Construction,17300,2,NA
24100,51 - Sutter,8/25/17,In Closure,0,0,NA
24101,52 - Tehama,8/25/17,In Review,90000,1,NA
24102,52 - Tehama,8/25/17,Pending Construction,197000,3,NA
24103,52 - Tehama,8/25/17,In Construction,1072636,4,NA
24104,52 - Tehama,8/25/17,In Closure,173655,1,NA
24105,53 - Trinity,8/25/17,In Review,0,0,NA
24106,53 - Trinity,8/25/17,Pending Construction,178500,3,NA
24107,53 - Trinity,8/25/17,In Construction,0,0,NA
24108,53 - Trinity,8/25/17,In Closure,1426478,2,NA
24109,54 - Tulare,8/25/17,In Review,23414217,6,NA
24110,54 - Tulare,8/25/17,Pending Construction,2098875,5,NA
24111,54 - Tulare,8/25/17,In Construction,51497455,21,NA
24112,54 - Tulare,8/25/17,In Closure,1544199,4,NA
24113,55 - Tuolumne,8/25/17,In Review,0,0,NA
24114,55 - Tuolumne,8/25/17,Pending Construction,163231,1,NA
24115,55 - Tuolumne,8/25/17,In Construction,2061102,3,NA
24116,55 - Tuolumne,8/25/17,In Closure,0,0,NA
24117,56 - Ventura,8/25/17,In Review,29137062,17,Greater Los Angeles Counties
24118,56 - Ventura,8/25/17,Pending Construction,3684603,21,Greater Los Angeles Counties
24119,56 - Ventura,8/25/17,In Construction,594566612,69,Greater Los Angeles Counties
24120,56 - Ventura,8/25/17,In Closure,4347632,13,Greater Los Angeles Counties
24121,57 - Yolo,8/25/17,In Review,16185923,7,Greater Sacramento Counties
24122,57 - Yolo,8/25/17,Pending Construction,506358,6,Greater Sacramento Counties
24123,57 - Yolo,8/25/17,In Construction,11017808,12,Greater Sacramento Counties
24124,57 - Yolo,8/25/17,In Closure,5579,1,Greater Sacramento Counties
24125,58 - Yuba,8/25/17,In Review,0,1,NA
24126,58 - Yuba,8/25/17,Pending Construction,1936191,4,NA
24127,58 - Yuba,8/25/17,In Construction,58043334,14,NA
24128,58 - Yuba,8/25/17,In Closure,89170550,2,NA
24129,01 - Alameda,9/8/17,In Review,153657915,57,Bay Area Counties
24130,01 - Alameda,9/8/17,Pending Construction,26571164,40,Bay Area Counties
24131,01 - Alameda,9/8/17,In Construction,628725490,115,Bay Area Counties
24132,01 - Alameda,9/8/17,In Closure,4029270,11,Bay Area Counties
24133,02 - Alpine,9/8/17,In Review,0,0,NA
24134,02 - Alpine,9/8/17,Pending Construction,0,0,NA
24135,02 - Alpine,9/8/17,In Construction,0,0,NA
24136,02 - Alpine,9/8/17,In Closure,0,0,NA
24137,03 - Amador,9/8/17,In Review,0,0,NA
24138,03 - Amador,9/8/17,Pending Construction,65000,1,NA
24139,03 - Amador,9/8/17,In Construction,2117671,3,NA
24140,03 - Amador,9/8/17,In Closure,172528,4,NA
24141,04 - Butte,9/8/17,In Review,88689000,10,NA
24142,04 - Butte,9/8/17,Pending Construction,105000,2,NA
24143,04 - Butte,9/8/17,In Construction,3269453,10,NA
24144,04 - Butte,9/8/17,In Closure,4510,2,NA
24145,05 - Calaveras,9/8/17,In Review,170600,1,NA
24146,05 - Calaveras,9/8/17,Pending Construction,150000,1,NA
24147,05 - Calaveras,9/8/17,In Construction,141564,2,NA
24148,05 - Calaveras,9/8/17,In Closure,0,0,NA
24149,06 - Colusa,9/8/17,In Review,0,0,NA
24150,06 - Colusa,9/8/17,Pending Construction,0,0,NA
24151,06 - Colusa,9/8/17,In Construction,0,0,NA
24152,06 - Colusa,9/8/17,In Closure,0,0,NA
24153,07 - Contra Costa,9/8/17,In Review,28164023,28,Bay Area Counties
24154,07 - Contra Costa,9/8/17,Pending Construction,3903924,27,Bay Area Counties
24155,07 - Contra Costa,9/8/17,In Construction,43766360,57,Bay Area Counties
24156,07 - Contra Costa,9/8/17,In Closure,4497845,15,Bay Area Counties
24157,08 - Del Norte,9/8/17,In Review,90000,1,NA
24158,08 - Del Norte,9/8/17,Pending Construction,52300,4,NA
24159,08 - Del Norte,9/8/17,In Construction,2259300,6,NA
24160,08 - Del Norte,9/8/17,In Closure,781500,2,NA
24161,09 - El Dorado,9/8/17,In Review,3388079,7,Greater Sacramento Counties
24162,09 - El Dorado,9/8/17,Pending Construction,1990373,4,Greater Sacramento Counties
24163,09 - El Dorado,9/8/17,In Construction,16171602,17,Greater Sacramento Counties
24164,09 - El Dorado,9/8/17,In Closure,185936,2,Greater Sacramento Counties
24165,10 - Fresno,9/8/17,In Review,107340914,17,NA
24166,10 - Fresno,9/8/17,Pending Construction,29770091,27,NA
24167,10 - Fresno,9/8/17,In Construction,54712241,77,NA
24168,10 - Fresno,9/8/17,In Closure,3398502,7,NA
24169,11 - Glenn,9/8/17,In Review,0,0,NA
24170,11 - Glenn,9/8/17,Pending Construction,12962075,2,NA
24171,11 - Glenn,9/8/17,In Construction,0,0,NA
24172,11 - Glenn,9/8/17,In Closure,0,0,NA
24173,12 - Humboldt,9/8/17,In Review,923000,2,NA
24174,12 - Humboldt,9/8/17,Pending Construction,9540600,6,NA
24175,12 - Humboldt,9/8/17,In Construction,88372565,7,NA
24176,12 - Humboldt,9/8/17,In Closure,915236,4,NA
24177,13 - Imperial,9/8/17,In Review,23074513,6,NA
24178,13 - Imperial,9/8/17,Pending Construction,47005000,7,NA
24179,13 - Imperial,9/8/17,In Construction,22845571,8,NA
24180,13 - Imperial,9/8/17,In Closure,27926,1,NA
24181,14 - Inyo,9/8/17,In Review,0,0,NA
24182,14 - Inyo,9/8/17,Pending Construction,30000,1,NA
24183,14 - Inyo,9/8/17,In Construction,0,0,NA
24184,14 - Inyo,9/8/17,In Closure,45000,1,NA
24185,15 - Kern,9/8/17,In Review,51401880,28,NA
24186,15 - Kern,9/8/17,Pending Construction,5609096,17,NA
24187,15 - Kern,9/8/17,In Construction,57924972,51,NA
24188,15 - Kern,9/8/17,In Closure,1101101,5,NA
24189,16 - Kings,9/8/17,In Review,130000,1,NA
24190,16 - Kings,9/8/17,Pending Construction,111500,1,NA
24191,16 - Kings,9/8/17,In Construction,861882,10,NA
24192,16 - Kings,9/8/17,In Closure,0,0,NA
24193,17 - Lake,9/8/17,In Review,590000,4,NA
24194,17 - Lake,9/8/17,Pending Construction,16000,2,NA
24195,17 - Lake,9/8/17,In Construction,1442472,16,NA
24196,17 - Lake,9/8/17,In Closure,934494,2,NA
24197,18 - Lassen,9/8/17,In Review,50000,1,NA
24198,18 - Lassen,9/8/17,Pending Construction,74620,2,NA
24199,18 - Lassen,9/8/17,In Construction,1389235,6,NA
24200,18 - Lassen,9/8/17,In Closure,540000,2,NA
24201,19 - Los Angeles,9/8/17,In Review,830134084,390,Greater Los Angeles Counties
24202,19 - Los Angeles,9/8/17,Pending Construction,295992797,446,Greater Los Angeles Counties
24203,19 - Los Angeles,9/8/17,In Construction,594200786,887,Greater Los Angeles Counties
24204,19 - Los Angeles,9/8/17,In Closure,185483184,211,Greater Los Angeles Counties
24205,20 - Madera,9/8/17,In Review,7614469,8,NA
24206,20 - Madera,9/8/17,Pending Construction,2098922,4,NA
24207,20 - Madera,9/8/17,In Construction,14737077,24,NA
24208,20 - Madera,9/8/17,In Closure,2189171,4,NA
24209,21 - Marin,9/8/17,In Review,3664271,11,Bay Area Counties
24210,21 - Marin,9/8/17,Pending Construction,6234950,17,Bay Area Counties
24211,21 - Marin,9/8/17,In Construction,36744553,45,Bay Area Counties
24212,21 - Marin,9/8/17,In Closure,942296,4,Bay Area Counties
24213,22 - Mariposa,9/8/17,In Review,0,0,NA
24214,22 - Mariposa,9/8/17,Pending Construction,25000,1,NA
24215,22 - Mariposa,9/8/17,In Construction,0,0,NA
24216,22 - Mariposa,9/8/17,In Closure,0,0,NA
24217,23 - Mendocino,9/8/17,In Review,984293,4,NA
24218,23 - Mendocino,9/8/17,Pending Construction,816700,7,NA
24219,23 - Mendocino,9/8/17,In Construction,22161926,21,NA
24220,23 - Mendocino,9/8/17,In Closure,167040,1,NA
24221,24 - Merced,9/8/17,In Review,1173096,3,NA
24222,24 - Merced,9/8/17,Pending Construction,113285,3,NA
24223,24 - Merced,9/8/17,In Construction,1446442,15,NA
24224,24 - Merced,9/8/17,In Closure,46134,1,NA
24225,25 - Modoc,9/8/17,In Review,0,0,NA
24226,25 - Modoc,9/8/17,Pending Construction,0,0,NA
24227,25 - Modoc,9/8/17,In Construction,45000,1,NA
24228,25 - Modoc,9/8/17,In Closure,0,0,NA
24229,26 - Mono,9/8/17,In Review,0,0,NA
24230,26 - Mono,9/8/17,Pending Construction,60000,1,NA
24231,26 - Mono,9/8/17,In Construction,21000,1,NA
24232,26 - Mono,9/8/17,In Closure,0,0,NA
24233,27 - Monterey,9/8/17,In Review,1384452,14,NA
24234,27 - Monterey,9/8/17,Pending Construction,12931909,12,NA
